subjNum,subjStartDate,subjStartTime,trialIndex,exptId,label,labelIndex,rt,vidPlayCounts
1013,2025-09-30,23:33:41,42,5237_approach,Examine,20,16.817,1
1013,2025-09-30,23:33:41,43,5266_avoid,Leave,21,8.261,1
1013,2025-09-30,23:33:41,44,5274_tickle,Encircle,8,11.599,1
1013,2025-09-30,23:33:41,45,5289_approach,Approach,0,7.068,1
1013,2025-09-30,23:33:41,46,5336_flirt with,Tickle,18,11.117,1
1013,2025-09-30,23:33:41,47,5342_scratch,Bother,27,11.299,1
1013,2025-09-30,23:33:41,48,5343_lead,Mimic,24,38.634,1
1013,2025-09-30,23:33:41,49,5345_ignore,Ignore,6,12.936,1
1013,2025-09-30,23:33:41,50,5351_encircle,Encircle,8,4.197,1
1013,2025-09-30,23:33:41,51,5352_ignore,Leave,21,3.949,1
1013,2025-09-30,23:33:41,52,5335_tickle,Approach,0,5.801,1
1013,2025-09-30,23:33:41,53,5392_talk to,Accompany,15,14.984,1
1013,2025-09-30,23:33:41,54,902_encircle,Encircle,8,13.283,1
1013,2025-09-30,23:33:41,55,5448_argue with,Approach,0,2.949,1
1013,2025-09-30,23:33:41,56,5458_mimic,Approach,0,6.3,1
1013,2025-09-30,23:33:41,57,5469_kiss,Poke,17,10.05,1
1013,2025-09-30,23:33:41,58,4956_capture,Approach,0,3.484,1
1013,2025-09-30,23:33:41,59,5497_follow,Follow,7,10.149,1
1013,2025-09-30,23:33:41,60,5528_hug,Kiss,19,4.034,1
1013,2025-09-30,23:33:41,61,5558_herd,Kiss,19,2.784,1
1013,2025-09-30,23:33:41,62,5567_encircle,Encircle,8,5.683,1
1013,2025-09-30,23:33:41,63,5578_capture,Approach,0,3.817,1
1013,2025-09-30,23:33:41,64,5612_bother,Examine,20,7.967,1
1013,2025-09-30,23:33:41,65,5620_argue with,Flirt with,9,17.432,1
1013,2025-09-30,23:33:41,66,5647_huddle with,Kiss,19,9.967,1
1013,2025-09-30,23:33:41,67,5714_leave,Leave,21,7.3,1
1009,2025-09-30,23:21:21,0,5781_bother,Chase,23,25.078,1
1009,2025-09-30,23:21:21,1,5801_hug,Huddle with,0,7.684,1
1009,2025-09-30,23:21:21,2,5867_tickle,Tickle,5,4.865,1
1009,2025-09-30,23:21:21,3,5878_follow,Follow,12,8.418,1
1009,2025-09-30,23:21:21,4,5077_talk to,Bother,29,24.037,2
1009,2025-09-30,23:21:21,5,5914_tickle,Bother,29,10.523,1
1009,2025-09-30,23:21:21,6,5924_chase,Avoid,10,16.43,1
1009,2025-09-30,23:21:21,7,5949_huddle with,Approach,16,8.899,2
1009,2025-09-30,23:21:21,8,5994_push,Avoid,10,23.184,1
1009,2025-09-30,23:21:21,9,6035_capture,Encircle,7,12.115,2
1009,2025-09-30,23:21:21,10,6045_leave,Avoid,10,26.113,2
1009,2025-09-30,23:21:21,11,6086_bother,Kiss,17,12.132,1
1009,2025-09-30,23:21:21,12,5114_accompany,Avoid,10,9.249,1
1009,2025-09-30,23:21:21,13,6141_throw,Escape,15,6.916,1
1009,2025-09-30,23:21:21,14,6145_examine,Approach,16,8.183,1
1009,2025-09-30,23:21:21,15,6146_argue with,Flirt with,8,10.988,2
1009,2025-09-30,23:21:21,16,6149_mimic,Mimic,26,16.115,1
1009,2025-09-30,23:21:21,17,6235_scratch,Tickle,5,5.514,1
1009,2025-09-30,23:21:21,18,1192_encircle,Capture,31,25.233,1
1009,2025-09-30,23:21:21,19,6283_hit,Poke,20,8.415,1
1009,2025-09-30,23:21:21,20,2219_accompany,Follow,12,24.466,1
1009,2025-09-30,23:21:21,21,5164_pull,Flirt with,8,26.23,1
1009,2025-09-30,23:21:21,22,1104_tickle,Bother,29,8.232,1
1009,2025-09-30,23:21:21,23,4679_accompany,Lead,11,8.171,1
1009,2025-09-30,23:21:21,24,4732_avoid,Play with,22,14.564,1
1009,2025-09-30,23:21:21,25,4787_kiss,Kiss,17,9.966,2
1009,2025-09-30,23:21:21,26,4791_fight,Fight,14,17.825,1
1009,2025-09-30,23:21:21,27,4805_hit,Hit,19,6.949,1
1009,2025-09-30,23:21:21,28,4823_block,Play with,22,11.536,2
